Lat,Long,Ocean,Cr_nmol/kg,npp_10,npp_11,npp_12,Year,npp_01,npp_02,npp_04,npp_05,npp_06,npp_07,npp_08,npp_09,npp_03,yearly_mean_npp
-67.29,163.536,Southern Ocean,3.835823175579897,,,,1997,,,,,,,,,,
-67.189,145.721,Southern Ocean,3.7810159689477536,,,,1997,,,,,,,,,,
-67.1,167.36,Southern Ocean,3.858050465689068,,,,1997,,,,,,,,,,
-63.963,-66.242,Southern Ocean,3.8113168770861883,,124.51123,296.2061,1997,,,,,,,,,,210.35866
-59.611,148.64,Southern Ocean,3.78023700507115,110.39521,232.16719,368.69434,1997,,,,,,,,,,237.08557
-59.6,-67.92,Southern Ocean,3.63,125.101616,309.456,696.22327,1997,,,,,,,,,,376.92697
-59.6,-67.919,Southern Ocean,3.71209750575196,125.101616,309.456,696.22327,1997,,,,,,,,,,376.92697
-54.83,-95.68,Southern Ocean,3.6659999999999995,216.7603,223.76607,575.9996,1997,,,,,,,,,,338.84198
-53.583,149.298,Southern Ocean,3.489904376667043,235.67657,214.84525,360.9964,1997,,,,,,,,,,270.50607
-53.2,-118.13,Southern Ocean,3.6333333333333333,250.52815,390.51205,365.99677,1997,,,,,,,,,,335.679
-50.99,-72.04,Southern Ocean,3.71,,,,1997,,,,,,,,,,
-49.906,141.931,Southern Ocean,3.3225,263.92664,296.38315,555.2221,1997,,,,,,,,,,371.844
-49.393,150.389,Southern Ocean,3.244285714285714,271.15182,298.63724,302.43234,1997,,,,,,,,,,290.74048
-47.0,141.9,Southern Ocean,3.514688225129975,466.2275,489.9118,612.7853,1997,,,,,,,,,,522.97485
-46.97,141.93,Southern Ocean,2.9738178106991984,466.2275,489.9118,612.7853,1997,,,,,,,,,,522.97485
-45.7,153.5,Southern Ocean,3.4626901228000735,528.10986,741.1024,2738.8862,1997,,,,,,,,,,1336.0328
-41.9,-35.43,Atlantic,2.9048153040828515,459.50986,555.0851,575.3881,1997,,,,,,,,,,529.9944
-40.4,153.9,Pacific,3.1583256230805192,1031.9454,1073.2253,1055.7616,1997,,,,,,,,,,1053.6442
