1997,1998,1999,2000,2001
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9837.928
-9999.0,-9999.0,-9999.0,-9999.0,-9813.521
-9999.0,-9999.0,-9999.0,-9999.0,-9979.477
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9994.119
-9999.0,-9999.0,-9999.0,-9999.0,-9989.238
-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
-9999.0,-9999.0,-9999.0,-9999.0,-9730.55
-9999.0,-9984.356,-9994.119,-9959.95,-9559.709
-9999.0,-9994.119,-9989.238,-9989.237,-9559.703
-9999.0,-9969.715,-9959.95,-9896.493,-9423.029
-9999.0,-9950.1875,-9974.594,-9955.069,-9325.403
-9999.0,-9881.817,-9984.356,-9959.947,-9164.308
-9999.0,-9837.883,-9969.707,-9940.421,-9061.788
-9896.486,-9813.49,-9808.621,-9798.852,-9012.976
-9886.723,-9701.21,-9769.57,-9750.031,-8944.629
-9886.725,-9847.673,-9808.615,-9764.666,-8978.796
-9793.97,-9969.712,-9740.259,-9642.618,-8773.754
-9818.374,-9994.119,-9876.953,-9735.374,-8895.801
-9847.658,-9945.306,-9828.112,-9730.484,-8886.039
-9735.367,-9935.535,-9754.855,-9852.531,-8749.366
-9754.884,-9969.714,-9784.14,-9896.466,-8593.16
-9750.005,-9940.428,-9813.447,-9930.635,-8563.86
-9745.115,-9920.893,-9828.091,-9911.111,-8588.274
-9740.236,-9925.775,-9832.98,-9925.754,-8710.295
-9701.191,-9940.423,-9779.275,-9886.688,-8910.42
-9735.359,-9837.911,-9745.099,-9886.691,-8959.227
-9769.508,-9730.521,-9710.906,-9940.403,-9042.205
-9793.924,-9681.701,-9579.108,-9881.799,-9051.955
-9803.691,-9540.149,-9491.24,-9857.391,-8925.018
-9745.098,-9681.709,-9457.064,-9852.517,-8885.933
-9642.572,-9564.548,-9442.413,-9696.275,-8685.783
-9642.576,-9613.359,-9442.439,-9457.078,-8563.746
-9671.863,-9618.25,-9310.644,-9193.465,-8456.347
-9657.207,-9662.189,-9227.648,-8915.194,-8402.621
-9662.088,-9657.296,-9237.429,-8700.393,-8309.847
-9642.557,-9706.111,-9149.545,-8549.026,-8368.399
-9559.579,-9667.057,-9149.552,-8588.045,-8314.684
-9374.0625,-9540.125,-8871.26,-8602.664,-8475.768
-9232.49,-9647.512,-9095.839,-8744.224,-8495.269
-9134.821,-9667.028,-9007.935,-8622.106,-8509.864
-9095.738,-9481.505,-8934.6875,-8548.857,-8583.053
-8905.342,-9452.209,-8954.182,-8709.967,-8597.692
-8832.094,-9339.938,-8968.814,-8612.271,-8490.229
-8778.39,-9242.283,-8866.256,-8519.471,-8392.568
-8636.814,-9310.602,-8719.75,-8485.301,-8324.23
-8641.715,-9295.92,-8729.49,-8480.411,-8294.937
-8685.65,-9251.977,-8631.84,-8626.931,-8226.598
-8836.984,-9203.143,-8651.411,-8880.859,-8334.012
-8749.116,-9476.596,-8753.965,-8998.05,-8314.478
-8768.634,-9471.695,-8661.129,-8993.161,-8270.534
-8802.834,-9432.624,-8797.877,-8963.834,-8333.986
-8758.87,-9315.406,-8895.515,-8929.67,-8290.014
-8739.342,-9071.248,-8822.229,-8919.878,-8187.464
-8636.77,-9012.638,-8763.615,-8797.784,-8114.2026
-8709.986,-9007.768,-8680.58,-8841.703,-8036.0557
-8802.765,-8973.558,-8661.021,-8739.133,-7996.957
-8675.801,-8919.791,-8543.793,-8651.212,-7938.3545
-8465.822,-8787.977,-8675.572,-8607.24,-7874.8335
-8626.961,-8719.596,-8724.384,-8748.843,-7928.5244
-8548.791,-8690.322,-8636.452,-8778.133,-7899.1953
-8368.125,-8441.271,-8563.189,-8729.244,-7894.29
-8206.983,-8695.227,-8592.497,-8675.461,-7928.453
-8236.26,-8621.984,-8499.689,-8597.323,-7889.349
-8250.872,-8817.307,-8402.023,-8621.74,-7845.3813
-8202.035,-8700.126,-8294.639,-8582.672,-7884.4404
-8202.012,-8685.415,-8411.834,-8533.852,-7938.1113
-8182.403,-8807.486,-8421.54,-8563.148,-7899.027
-8177.485,-8890.451,-8441.075,-8558.256,-7933.1895
-8231.191,-8768.324,-8455.704,-8548.514,-7767.1553
-8280.024,-8714.57,-8450.809,-8260.398,-7801.303
-8328.897,-8968.509,-8543.612,-8577.872,-7884.299
-8363.051,-8983.197,-8577.811,-8709.713,-7894.076
-8470.496,-9046.662,-8602.269,-8909.936,-7899.0015
-8450.961,-9144.327,-8636.484,-8880.625,-7806.2524
-8387.477,-9222.45,-8411.849,-8958.746,-7762.3267
-8363.104,-9285.952,-8533.945,-8944.104,-7835.612
