Lat,Long,Ocean,Cr_nmol/kg,sst_09,sst_10,sst_11,sst_12,Year,sst_01,sst_02,sst_04,sst_05,sst_06,sst_07,sst_08,sst_03,yearly_mean_sst
-67.29,163.536,Southern Ocean,3.835823175579897,,,,,1997,,,,,,,,,
-67.189,145.721,Southern Ocean,3.7810159689477536,,,,,1997,,,,,,,,,
-67.1,167.36,Southern Ocean,3.858050465689068,,,,,1997,,,,,,,,,
-63.963,-66.242,Southern Ocean,3.8113168770861883,,,-1.8046429,-0.6441388,1997,,,,,,,,,-1.2243909
-59.611,148.64,Southern Ocean,3.78023700507115,-1.2099375,-1.4838206,-0.32601553,0.93167853,1997,,,,,,,,,-0.52202374
-59.6,-67.92,Southern Ocean,3.63,2.4609377,1.031099,1.8711833,3.997123,1997,,,,,,,,,2.3400857
-59.6,-67.919,Southern Ocean,3.71209750575196,2.4609377,1.031099,1.8711833,3.997123,1997,,,,,,,,,2.3400857
-54.83,-95.68,Southern Ocean,3.6659999999999995,5.4556885,5.0365934,5.779469,6.3217745,1997,,,,,,,,,5.648381
-53.583,149.298,Southern Ocean,3.489904376667043,4.95875,4.1199603,4.128438,5.316041,1997,,,,,,,,,4.6307974
-53.2,-118.13,Southern Ocean,3.6333333333333333,4.7550125,5.339063,6.4357667,6.032359,1997,,,,,,,,,5.6405506
-50.99,-72.04,Southern Ocean,3.71,,,,,1997,,,,,,,,,
-49.906,141.931,Southern Ocean,3.3225,6.803125,6.623287,6.9967713,8.028175,1997,,,,,,,,,7.1128397
-49.393,150.389,Southern Ocean,3.244285714285714,6.790163,7.125514,7.2203126,7.878932,1997,,,,,,,,,7.253731
-47.0,141.9,Southern Ocean,3.514688225129975,8.575782,9.145464,9.63211,9.522203,1997,,,,,,,,,9.218889
-46.97,141.93,Southern Ocean,2.9738178106991984,8.438437,8.876613,9.815599,9.75185,1997,,,,,,,,,9.220625
-45.7,153.5,Southern Ocean,3.4626901228000735,9.61297,9.709173,9.8271885,11.070364,1997,,,,,,,,,10.054924
-41.9,-35.43,Atlantic,2.9048153040828515,9.185295,9.817742,11.415696,12.246193,1997,,,,,,,,,10.666231
